date,race,rider,rank,team
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Cesare_Benedetti,56,Bora_Hansgrohe_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Jose_Mendes,57,Bora_Hansgrohe_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Jerome_Baugnies,58,Wanty_Groupe_Gobert_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Magnus_Cort_nielsen,59,ORICA_Scott_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Perrig_Quemeneur,60,Direct_Energie_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Andreas_Schillinger,61,Bora_Hansgrohe_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Jelle_Wallays,62,Lotto_Soudal_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Paul_Ourselin,63,Direct_Energie_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Maxime_Farazijn,64,Sport_Vlaanderen_Baloise_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Kevin_Deltombe,65,Sport_Vlaanderen_Baloise_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),David_Per,66,Bahrain_Merida_Pro_Cycling_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Rayane_Bouhanni,67,"Cofidis,_Solutions_Credits_2017"
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Ivan_Moreno,68,Spain_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Thomas_Degand,69,Wanty_Groupe_Gobert_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Frederik_Backaert,70,Wanty_Groupe_Gobert_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Kenneth_Van_Rooy,71,Sport_Vlaanderen_Baloise_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Ibai_Salas,72,Burgos-BH__2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Adam_De_Vos,73,Rally_Cycling_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Jens_Wallays,74,Sport_Vlaanderen_Baloise_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Antonio_Pedrero,75,Movistar_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Marcin_Mrosek,76,CCC_Sprandi_Polkowice_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Oscar_Pujol_Munoz,77,Team_UKYO_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Dmitry_Kozonchuk,78,Gazprom_RusVelo_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Mathew_Hayman,79,ORICA_Scott_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Alexander_Foliforov,80,Gazprom_RusVelo_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Romain_Guillemois,81,Direct_Energie_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Antonio_nibali,82,Bahrain_Merida_Pro_Cycling_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Benjamin_Prades_Reverter,83,Team_UKYO_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Tosh_Van_Der_Sande,84,Lotto_Soudal_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),nbcoureurs,106,all
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Diego_Ulissi,1,UAE_Team_Emirates_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Manuel_Belletti,2,Wilier_Triestina_Selle_Italia_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Francesco_Gavazzi,3,Androni_Giocattoli_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Roman_Maikin,4,Gazprom_RusVelo_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Davide_Mucelli,5,Meridiana_Kamen_Team_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Mikel_Aristi,6,Delko_Marseille_Provence_KTM_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Asbjorn_Kragh_Andersen,7,Delko_Marseille_Provence_KTM_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Paolo_Toto,8,Sangemini-MGKvis_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Eduard_Michael_Grosu,9,Nippo_Vini_Fantini_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Simone_Petilli,10,UAE_Team_Emirates_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Thery_Schir,11,Team_Vorarlberg_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),nicola_Gaffurini,12,Sangemini-MGKvis_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Luca_Wackermann,13,Bardiani_CSF_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Mattia_Cattaneo,14,Androni_Giocattoli_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Alessio_Taliani,15,Androni_Giocattoli_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Matteo_Rabottini,16,Meridiana_Kamen_Team_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Stephan_Rabitsch,17,Team_Felbermayr_-_Simplon_Wels__2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Marco_Frapporti,18,Androni_Giocattoli_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Lorenzo_Rota,19,Bardiani_CSF_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Remy_Di_Gregorio,20,Delko_Marseille_Provence_KTM_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Filippo_Pozzato,21,Wilier_Triestina_Selle_Italia_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Julen_Amezqueta,22,Wilier_Triestina_Selle_Italia_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Yonder_Godoy,23,Wilier_Triestina_Selle_Italia_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),nicola_Bagioli,24,Nippo_Vini_Fantini_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),nicola_Genovese,25,d_Amico_Utensilnord_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Marco_Canola,26,Nippo_Vini_Fantini_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Davide_Ballerini,27,Androni_Giocattoli_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Sebastian_Schonberger,28,Tirol_Cycling_Team_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Filippo_Rocchetti,29,Italy_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Igor_Boev,30,Gazprom_RusVelo_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Patrick_Gamper,31,Tirol_Cycling_Team_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Patrick_Schelling,32,Team_Vorarlberg_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Eduard_Vorganov,33,Minsk_Cycling_Club_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Michele_Gazzarra,34,Sangemini-MGKvis_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Angelo_Raffaele,35,d_Amico_Utensilnord_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Stanislau_Bazhkou,36,Minsk_Cycling_Club_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Manuele_Mori,37,UAE_Team_Emirates_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Fabio_Tommassini,38,d_Amico_Utensilnord_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Davide_Orrico,39,Sangemini-MGKvis_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Thierry_Hupond,40,Delko_Marseille_Provence_KTM_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Andrea_Cacciotti,41,Unieuro_Trevigiani_Hemus_1896_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Daniel_Diaz,42,Delko_Marseille_Provence_KTM_2017
05-02-2017, 2017   »   22nd G.P. Costa degli Etruschi  (1.1),Pier_Paolo_De_negri,43,Nippo_Vini_Fantini_2017
